id,filename,type,teff,logg,feh
spec_001,t06500_g+1.0_m13p04_sed.fits,a_f_star,6500,1,-1.34
spec_002,t06500_g+3.5_m05p04_sed.fits,a_f_star,6500,3.5,-0.54
spec_003,t06750_g+2.0_p00p00_sed.fits,a_f_star,6750,2,0
spec_004,t06750_g+4.5_p02p00_sed.fits,a_f_star,6750,4.5,0.2
spec_005,t07000_g+3.5_m05p00_sed.fits,a_f_star,7000,3.5,-0.5
spec_006,t07250_g+2.5_m05p04_sed.fits,a_f_star,7250,2.5,-0.54
spec_007,t07500_g+1.5_m05p04_sed.fits,a_f_star,7500,1.5,-0.54
spec_008,t07500_g+4.0_m01p04_sed.fits,a_f_star,7500,4,-0.14
spec_009,t07750_g+3.0_p00p04_sed.fits,a_f_star,7750,3,0.04
spec_010,t08000_g+2.5_m13p04_sed.fits,a_f_star,8000,2.5,-1.34
spec_011,t08250_g+1.5_m10p04_sed.fits,a_f_star,8250,1.5,-1.04
spec_012,t08250_g+4.0_m05p04_sed.fits,a_f_star,8250,4,-0.54
spec_013,t08500_g+3.0_m01p04_sed.fits,a_f_star,8500,3,-0.14
spec_014,t08750_g+2.5_m10p00_sed.fits,a_f_star,8750,2.5,-1
spec_015,t09000_g+1.5_m10p04_sed.fits,a_f_star,9000,1.5,-1.04
spec_016,t09000_g+4.0_p00p00_sed.fits,a_f_star,9000,4,0
spec_017,t09250_g+3.5_m13p04_sed.fits,a_f_star,9250,3.5,-1.34
spec_018,t09500_g+2.5_p02p00_sed.fits,a_f_star,9500,2.5,0.2
spec_019,t09750_g+2.0_p00p00_sed.fits,a_f_star,9750,2,0
spec_020,t09750_g+5.0_m10p00_sed.fits,a_f_star,9750,5,-1
spec_021,t03200_g+5.0_m01p04_sed.fits,cool_dwarf,3200,5,-0.14
spec_022,t03400_g+5.0_p02p00_sed.fits,cool_dwarf,3400,5,0.2
spec_023,t03600_g+5.0_m05p04_sed.fits,cool_dwarf,3600,5,-0.54
spec_024,t03600_g+5.5_p02p00_sed.fits,cool_dwarf,3600,5.5,0.2
spec_025,t03800_g+5.0_m08p04_sed.fits,cool_dwarf,3800,5,-0.84
spec_026,t03800_g+5.5_m08p04_sed.fits,cool_dwarf,3800,5.5,-0.84
spec_027,t04000_g+4.5_m05p04_sed.fits,cool_dwarf,4000,4.5,-0.54
spec_028,t04000_g+5.0_m05p04_sed.fits,cool_dwarf,4000,5,-0.54
spec_029,t04000_g+5.5_m08p04_sed.fits,cool_dwarf,4000,5.5,-0.84
spec_030,t04250_g+4.5_p00p04_sed.fits,cool_dwarf,4250,4.5,0.04
spec_031,t04250_g+5.0_p00p00_sed.fits,cool_dwarf,4250,5,0
spec_032,t04500_g+4.5_m13p04_sed.fits,cool_dwarf,4500,4.5,-1.34
spec_033,t04500_g+4.5_p02p04_sed.fits,cool_dwarf,4500,4.5,0.24
spec_034,t04500_g+5.0_p02p04_sed.fits,cool_dwarf,4500,5,0.24
spec_035,t04750_g+4.0_p02p04_sed.fits,cool_dwarf,4750,4,0.24
spec_036,t04750_g+4.5_p02p04_sed.fits,cool_dwarf,4750,4.5,0.24
spec_037,t04750_g+5.0_p02p00_sed.fits,cool_dwarf,4750,5,0.2
spec_038,t05000_g+4.5_m13p04_sed.fits,cool_dwarf,5000,4.5,-1.34
spec_039,t05000_g+4.5_p02p04_sed.fits,cool_dwarf,5000,4.5,0.24
spec_040,t05000_g+5.0_p02p04_sed.fits,cool_dwarf,5000,5,0.24
spec_041,t03000_g-0.5_m13p04_sed.fits,cool_giant,3000,-0.5,-1.34
spec_042,t03000_g+0.0_m08p04_sed.fits,cool_giant,3000,0,-0.84
spec_043,t03000_g+0.5_p02p00_sed.fits,cool_giant,3000,0.5,0.2
spec_044,t03200_g-0.5_p00p04_sed.fits,cool_giant,3200,-0.5,0.04
spec_045,t03200_g+0.0_p02p04_sed.fits,cool_giant,3200,0,0.24
spec_046,t03200_g+1.0_p00p00_sed.fits,cool_giant,3200,1,0
spec_047,t03400_g+0.0_m13p04_sed.fits,cool_giant,3400,0,-1.34
spec_048,t03400_g+0.5_m08p04_sed.fits,cool_giant,3400,0.5,-0.84
spec_049,t03400_g+1.0_p00p00_sed.fits,cool_giant,3400,1,0
spec_050,t03600_g+0.0_m03p04_sed.fits,cool_giant,3600,0,-0.34
spec_051,t03600_g+0.5_p00p00_sed.fits,cool_giant,3600,0.5,0
spec_052,t03600_g+1.5_m03p04_sed.fits,cool_giant,3600,1.5,-0.34
spec_053,t03800_g+0.0_m05p04_sed.fits,cool_giant,3800,0,-0.54
spec_054,t03800_g+0.5_p02p04_sed.fits,cool_giant,3800,0.5,0.24
spec_055,t03800_g+1.5_m08p04_sed.fits,cool_giant,3800,1.5,-0.84
spec_056,t03800_g+2.5_p02p04_sed.fits,cool_giant,3800,2.5,0.24
spec_057,t04000_g+0.5_p00p00_sed.fits,cool_giant,4000,0.5,0
spec_058,t04000_g+1.0_p02p04_sed.fits,cool_giant,4000,1,0.24
spec_059,t04000_g+2.0_m08p04_sed.fits,cool_giant,4000,2,-0.84
spec_060,t04000_g+3.0_p02p04_sed.fits,cool_giant,4000,3,0.24
spec_061,t10000_g+1.5_m13p04_sed.fits,hot_star,10000,1.5,-1.34
spec_062,t10000_g+4.5_m01p04_sed.fits,hot_star,10000,4.5,-0.14
spec_063,t10250_g+4.5_m05p00_sed.fits,hot_star,10250,4.5,-0.5
spec_064,t10500_g+4.5_m10p04_sed.fits,hot_star,10500,4.5,-1.04
spec_065,t10750_g+4.0_m01p04_sed.fits,hot_star,10750,4,-0.14
spec_066,t11000_g+4.0_m05p04_sed.fits,hot_star,11000,4,-0.54
spec_067,t11250_g+4.0_m08p04_sed.fits,hot_star,11250,4,-0.84
spec_068,t11500_g+4.0_m05p04_sed.fits,hot_star,11500,4,-0.54
spec_069,t11750_g+4.0_m08p04_sed.fits,hot_star,11750,4,-0.84
spec_070,t12000_g+4.0_m05p04_sed.fits,hot_star,12000,4,-0.54
spec_071,t12250_g+4.0_p00p00_sed.fits,hot_star,12250,4,0
spec_072,t12500_g+4.5_m10p00_sed.fits,hot_star,12500,4.5,-1
spec_073,t12750_g+4.5_p02p00_sed.fits,hot_star,12750,4.5,0.2
spec_074,t14000_g+2.5_m10p00_sed.fits,hot_star,14000,2.5,-1
spec_075,t15000_g+3.0_p02p04_sed.fits,hot_star,15000,3,0.24
spec_076,t16000_g+4.0_m10p04_sed.fits,hot_star,16000,4,-1.04
spec_077,t17000_g+4.5_m08p04_sed.fits,hot_star,17000,4.5,-0.84
spec_078,t19000_g+3.5_m03p04_sed.fits,hot_star,19000,3.5,-0.34
spec_079,t21000_g+3.5_p00p00_sed.fits,hot_star,21000,3.5,0
spec_080,t26000_g+4.0_m13p04_sed.fits,hot_star,26000,4,-1.34
spec_081,t04250_g+0.0_m13p04_sed.fits,solar_like,4250,0,-1.34
spec_082,t04250_g+2.0_m05p00_sed.fits,solar_like,4250,2,-0.5
spec_083,t04500_g+1.0_m05p00_sed.fits,solar_like,4500,1,-0.5
spec_084,t04500_g+3.0_m10p04_sed.fits,solar_like,4500,3,-1.04
spec_085,t04750_g+1.5_m05p00_sed.fits,solar_like,4750,1.5,-0.5
spec_086,t04750_g+3.5_m10p04_sed.fits,solar_like,4750,3.5,-1.04
spec_087,t05000_g+2.0_m05p04_sed.fits,solar_like,5000,2,-0.54
spec_088,t05000_g+3.5_p02p04_sed.fits,solar_like,5000,3.5,0.24
spec_089,t05250_g+2.5_m05p04_sed.fits,solar_like,5250,2.5,-0.54
spec_090,t05250_g+4.0_p02p04_sed.fits,solar_like,5250,4,0.24
spec_091,t05500_g+1.5_m03p04_sed.fits,solar_like,5500,1.5,-0.34
spec_092,t05500_g+3.5_m10p04_sed.fits,solar_like,5500,3.5,-1.04
spec_093,t05500_g+5.0_p00p04_sed.fits,solar_like,5500,5,0.04
spec_094,t05750_g+2.5_m05p00_sed.fits,solar_like,5750,2.5,-0.5
spec_095,t05750_g+4.5_m10p04_sed.fits,solar_like,5750,4.5,-1.04
spec_096,t06000_g+2.0_m10p00_sed.fits,solar_like,6000,2,-1
spec_097,t06000_g+3.5_p02p00_sed.fits,solar_like,6000,3.5,0.2
spec_098,t06250_g+1.5_m13p04_sed.fits,solar_like,6250,1.5,-1.34
spec_099,t06250_g+3.0_p00p04_sed.fits,solar_like,6250,3,0.04
spec_100,t06250_g+5.0_m05p00_sed.fits,solar_like,6250,5,-0.5
